customerid,churn
4701-MLJPN,0
1032-MAELW,0
7641-TQFHN,1
1552-TKMXS,0
9206-GVPEQ,0
8622-ZLFKO,0
1596-BBVTG,0
6188-UXBBR,0
2333-KWEWW,0
5702-SKUOB,0
1134-YWTYF,0
6061-GWWAV,0
0679-TDGAK,0
6585-WCEWR,0
9067-YGSCA,0
9067-SQTNS,0
8433-WXGNA,0
1776-SPBWV,0
8735-SDUFN,0
9668-PUGNU,1
9405-GPBBG,0
1926-QUZNN,0
3707-GNWHM,0
7016-NVRIC,0
5829-NVSQN,0
9565-AXSMR,0
8922-LIEGH,0
8869-LIHMK,1
8245-UMPYT,1
5186-SAMNZ,0
0447-RXSGD,0
4927-WWOOZ,0
5788-YPOEG,0
5373-SFODM,0
0661-KBKPA,0
9081-WWXKP,0
0784-ZQJZX,0
3133-PZNSR,0
5766-ZJYBB,0
8931-GJJIQ,0
4277-PVRAN,0
0022-TCJCI,0
0722-SVSFK,0
3612-YVGSJ,0
9825-YCXWZ,0
5397-NSKQG,0
8565-HBFNN,0
2000-DHJUY,0
0203-HHYIJ,0
8670-ERCJH,1
7758-UJWYS,0
2050-ONYDQ,0
7055-JCGNI,0
0739-UUAJR,0
4826-DXMUP,0
0952-KMEEH,0
7285-KLOTR,1
0654-PQKDW,0
7175-NTIXE,0
7963-SHNDT,0
9796-BPKIW,0
0188-GWFLE,0
8129-GMVGI,0
2882-DDZPG,0
3547-LQRIK,0
9137-NOQKA,0
5843-TTHGI,0
1849-RJYIG,1
8868-GAGIO,0
4061-UKJWL,0
5380-XPJNZ,0
8263-QMNTJ,0
8178-EYZUO,0
3230-JCNZS,0
0277-ORXQS,0
5130-IEKQT,0
3230-WYKIR,0
7996-BPXHY,0
3227-WLKLI,0
0407-BDJKB,0
2266-FUBDZ,0
8237-ULIXL,0
9600-UDOPK,0
8216-AZUUZ,1
9153-BTBVV,0
4074-SJFFA,0
3269-ATYWD,0
5186-PEIZU,0
1074-AMIOH,0
4910-GMJOT,1
0354-WYROK,0
4361-FEBGN,0
7748-UMTRK,1
0380-ZCSBI,0
7145-FEJWU,0
6463-MVYRY,0
3969-JQABI,1
9624-EGDEQ,0
1051-EQPZR,0
5849-ASHZJ,0
5780-INQIK,0
7576-OYWBN,0
4526-ZJJTM,0
8384-FZBJK,0
3750-RNQKR,0
0962-CQPWQ,1
3096-YXENJ,0
1265-BCFEO,1
5837-LXSDN,0
5945-AZYHT,0
8325-QRPZR,0
6384-VMJHP,1
2262-SLNVK,0
7730-CLDSV,0
1135-HIORI,0
0164-APGRB,0
6481-ESCNL,0
1790-NESIO,0
1550-EENBN,0
5539-TMZLF,0
4323-SADQS,0
4446-BZKHU,0
5202-IVJNU,0
5976-JCJRH,0
8198-RKSZG,0
0137-OCGAB,1
3351-NQLDI,0
9297-EONCV,0
7593-JNWRU,0
4588-YBNIB,0
1069-QJOEE,0
3336-JORSO,0
7799-DSEWS,0
8766-PAFNE,0
5315-CKEQK,0
3130-ICDUP,0
0820-FNRNX,1
0880-FVFWF,0
4611-ANLQC,0
4213-HKBJO,1
2792-LSHWX,0
5028-GZLDO,0
0014-BMAQU,0
6861-XWTWQ,1
9018-PCIOK,0
4837-QUSFT,1
6877-TJMBR,0
9953-ZMKSM,0
0907-HQNTS,0
7665-NKLAV,1
6769-DCQLI,0
2433-KMEAS,0
4391-LNRXK,0
8250-ZNGGW,0
